project_id,project_name,sector,state,original_cost,revised_cost,planned_duration_months,project_age_months,physical_progress,financial_progress,milestones_total,milestones_delayed,land_acquisition_pending,clearance_pending,funding_issue,contractor_issue,previous_schedule_deviation,actual_delay_months,actual_cost_overrun_percentage,final_status,primary_delay_cause,intervention_taken,intervention_outcome
HIST-00011,Karnataka Airport Cargo Complex - Phase 1,Airports,Karnataka,243.6,258.6,19,74,92.2,85.8,6,2,0,0,0,0,9.5,0,6.6,Completed with Cost Overrun,No material delay,No Major Intervention,Not Applicable
HIST-00012,Uttar Pradesh Container Yard Development - Phase 3,Ports,Uttar Pradesh,255.6,256.0,56,42,83.2,74.9,12,0,1,0,0,0,1.1,5,0.0,Delayed,Land acquisition,Contractor Replacement,No Significant Improvement
HIST-00013,Uttar Pradesh Airport Cargo Complex - Phase 2,Airports,Uttar Pradesh,182.6,199.8,81,15,16.6,17.5,19,3,1,0,0,0,1.5,5,6.9,Under Review,Land acquisition,Land Acquisition Task Force,Successful
HIST-00014,West Bengal Thermal Power Plant Modernisation - Phase 1,Power,West Bengal,327.8,327.8,30,75,100.0,97.1,7,2,0,0,0,0,2.0,3,0.0,Delayed,Milestone slippage,No Major Intervention,Not Applicable
HIST-00015,Telangana Sewerage Network Upgrade - Phase 1,Urban Development,Telangana,1019.7,1033.5,40,29,72.8,83.6,8,0,0,0,0,0,-12.0,0,2.3,Under Review,No material delay,No Major Intervention,Not Applicable
HIST-00016,West Bengal Expressway Corridor - Phase 2,Roads,West Bengal,1112.2,1179.5,44,54,97.6,100.0,14,0,1,0,0,1,-1.5,4,5.9,Delayed,Land acquisition,Land Acquisition Task Force,No Significant Improvement
HIST-00017,Bihar Airport Cargo Complex - Phase 1,Airports,Bihar,375.3,392.1,68,23,52.4,57.5,14,1,0,0,0,0,4.0,1,4.6,Under Review,No material delay,No Major Intervention,Not Applicable
HIST-00018,Rajasthan State Highway Upgradation - Phase 3,Roads,Rajasthan,433.6,435.4,39,76,100.0,100.0,9,0,0,0,0,0,1.0,1,0.0,Completed,No material delay,No Major Intervention,Not Applicable
HIST-00019,Haryana Rail Line Doubling - Phase 2,Railways,Haryana,124.5,128.5,49,65,100.0,91.5,14,0,0,1,0,0,-4.4,3,1.8,Delayed,Pending clearance,Inter-Department Coordination,Partially Successful
HIST-00020,Rajasthan Urban Renewal Mission - Phase 1,Urban Development,Rajasthan,288.1,323.8,56,74,99.7,100.0,12,3,0,1,0,0,9.1,3,7.9,Delayed,Milestone slippage,Land Acquisition Task Force,Successful
HIST-00021,Tamil Nadu Railway Electrification Project - Phase 2,Railways,Tamil Nadu,81.7,90.0,39,50,100.0,100.0,12,0,1,0,0,1,3.4,7,11.6,Delayed,Land acquisition,Land Acquisition Task Force,No Significant Improvement
HIST-00022,Maharashtra Transmission Line Augmentation - Phase 3,Power,Maharashtra,210.8,217.4,52,23,51.4,60.5,10,1,0,0,0,0,5.6,0,5.8,Under Review,No material delay,No Major Intervention,Not Applicable
HIST-00023,Tamil Nadu Rail Line Doubling - Phase 1,Railways,Tamil Nadu,1431.1,1515.1,61,13,3.8,3.1,20,0,0,0,0,0,-10.1,0,6.2,Under Review,No material delay,No Major Intervention,Not Applicable
HIST-00024,Andhra Pradesh National Highway Widening - Phase 1,Roads,Andhra Pradesh,268.4,286.9,66,77,98.6,100.0,16,1,0,1,0,0,-4.0,0,6.7,Completed with Cost Overrun,No material delay,No Major Intervention,Not Applicable
HIST-00025,Maharashtra Metro Rail Extension - Phase 2,Railways,Maharashtra,116.8,131.0,55,81,100.0,100.0,10,0,1,0,0,1,-2.6,0,11.8,Completed with Cost Overrun,No material delay,Contractor Replacement,Partially Successful
HIST-00026,Uttar Pradesh Thermal Power Plant Modernisation - Phase 3,Power,Uttar Pradesh,264.0,291.1,47,25,31.0,38.1,11,2,1,0,0,0,7.4,7,9.1,Under Review,Land acquisition,Land Acquisition Task Force,Partially Successful
HIST-00027,Gujarat Substation Capacity Expansion - Phase 3,Power,Gujarat,88.7,103.6,19,56,100.0,89.1,4,1,1,0,1,0,5.3,5,9.9,Delayed,Land acquisition,Land Acquisition Task Force,Successful
HIST-00028,Karnataka Water Supply Augmentation - Phase 1,Water Resources,Karnataka,193.4,193.6,59,21,36.4,40.1,17,2,0,0,0,0,3.2,4,1.5,Under Review,Milestone slippage,No Major Intervention,Not Applicable
HIST-00029,Jharkhand Thermal Power Plant Modernisation - Phase 3,Power,Jharkhand,251.9,259.6,51,23,47.3,50.6,11,0,1,0,0,0,2.5,0,0.0,Under Review,No material delay,Contractor Replacement,Successful
HIST-00030,Haryana Irrigation Canal Modernisation - Phase 2,Water Resources,Haryana,279.7,311.0,13,89,100.0,91.7,4,0,1,1,0,0,5.7,0,8.3,Completed with Cost Overrun,No material delay,Inter-Department Coordination,Partially Successful
HIST-00031,West Bengal Rail Line Doubling - Phase 2,Railways,West Bengal,107.6,110.7,48,63,100.0,89.7,13,0,1,0,0,0,-2.0,0,2.7,Completed,No material delay,No Major Intervention,Not Applicable
HIST-00032,Jharkhand Affordable Housing Scheme - Phase 1,Urban Development,Jharkhand,152.6,171.5,36,8,29.9,19.9,9,2,0,1,1,0,11.9,8,10.6,Delayed,Milestone slippage,Additional Funding Approval,Partially Successful
HIST-00033,Rajasthan Container Yard Development - Phase 1,Ports,Rajasthan,335.0,335.3,41,54,100.0,100.0,11,2,0,0,0,0,-2.1,0,0.1,Completed,No material delay,No Major Intervention,Not Applicable
HIST-00034,Karnataka Rail Line Doubling - Phase 1,Railways,Karnataka,627.3,641.2,38,46,94.9,95.3,11,1,0,0,0,0,2.4,1,3.1,Completed,No material delay,No Major Intervention,Not Applicable
HIST-00035,Telangana Smart City Development - Phase 3,Urban Development,Telangana,334.3,364.0,36,83,100.0,99.7,8,1,0,0,1,0,9.2,3,5.6,Delayed,Funding release,Additional Funding Approval,Partially Successful
HIST-00036,Uttar Pradesh Airport Cargo Complex - Phase 2,Airports,Uttar Pradesh,474.0,490.3,50,54,100.0,95.6,12,1,0,1,0,0,0.6,0,5.4,Completed with Cost Overrun,No material delay,No Major Intervention,Not Applicable
HIST-00037,Karnataka Sewerage Network Upgrade - Phase 1,Urban Development,Karnataka,115.7,126.9,14,32,97.3,99.5,4,0,0,0,1,0,8.7,1,7.1,Completed with Cost Overrun,No material delay,Additional Funding Approval,Partially Successful
HIST-00038,West Bengal Transmission Line Augmentation - Phase 2,Power,West Bengal,131.3,137.4,54,59,100.0,100.0,13,0,0,0,1,0,0.7,0,4.0,Completed,No material delay,Additional Funding Approval,Partially Successful
HIST-00039,Maharashtra Solar Power Park - Phase 3,Power,Maharashtra,116.0,122.6,44,33,69.8,76.3,15,0,0,0,1,0,-3.7,0,6.1,Completed with Cost Overrun,No material delay,Additional Funding Approval,Partially Successful
HIST-00040,West Bengal Airport Cargo Complex - Phase 2,Airports,West Bengal,196.3,198.3,64,20,41.9,33.0,15,0,0,0,0,0,-5.1,1,0.2,Under Review,No material delay,No Major Intervention,Not Applicable
HIST-00041,Rajasthan Airport Terminal Development - Phase 3,Airports,Rajasthan,240.4,250.3,51,47,73.5,54.6,14,3,0,0,0,0,9.1,3,3.7,Delayed,Milestone slippage,Milestone Restructuring,Successful
HIST-00042,Kerala Ring Road Development - Phase 2,Roads,Kerala,214.1,255.4,40,77,96.9,95.3,7,2,1,0,0,1,3.3,10,15.7,Delayed,Land acquisition,Land Acquisition Task Force,Partially Successful
HIST-00043,Haryana Container Yard Development - Phase 3,Ports,Haryana,551.6,628.8,65,86,97.0,100.0,14,2,0,0,0,1,10.0,0,8.9,Completed with Cost Overrun,No material delay,Contractor Replacement,Successful
HIST-00044,West Bengal Sewerage Network Upgrade - Phase 2,Urban Development,West Bengal,567.1,592.1,44,50,100.0,95.4,11,0,0,0,0,1,3.7,0,5.7,Completed with Cost Overrun,No material delay,No Major Intervention,Not Applicable
HIST-00045,Andhra Pradesh State Highway Upgradation - Phase 1,Roads,Andhra Pradesh,97.9,107.8,45,83,99.6,90.9,8,2,0,0,0,1,1.7,0,5.5,Completed with Cost Overrun,No material delay,Contractor Replacement,Successful
HIST-00046,Kerala Container Yard Development - Phase 3,Ports,Kerala,484.6,505.7,51,18,28.8,29.9,13,1,0,1,0,0,1.5,0,4.0,Under Review,No material delay,No Major Intervention,Not Applicable
HIST-00047,Bihar Runway Expansion Project - Phase 2,Airports,Bihar,338.1,354.0,90,37,53.8,74.2,23,0,0,0,1,0,0.6,1,5.9,Under Review,No material delay,Additional Funding Approval,No Significant Improvement
HIST-00048,Gujarat River Interlinking Scheme - Phase 3,Water Resources,Gujarat,225.7,235.4,18,50,99.5,100.0,11,1,0,0,0,0,4.0,1,4.1,Completed,No material delay,No Major Intervention,Not Applicable
HIST-00049,Bihar Rail Line Doubling - Phase 1,Railways,Bihar,166.6,180.2,25,36,87.5,92.1,8,1,1,0,0,0,2.3,0,8.2,Completed with Cost Overrun,No material delay,No Major Intervention,Not Applicable
HIST-00050,Andhra Pradesh Substation Capacity Expansion - Phase 1,Power,Andhra Pradesh,437.5,489.7,42,69,99.9,99.9,12,1,1,0,0,0,5.5,7,13.1,Delayed,Land acquisition,Land Acquisition Task Force,No Significant Improvement
HIST-00051,Maharashtra State Highway Upgradation - Phase 2,Roads,Maharashtra,391.6,393.2,43,11,21.0,10.1,8,2,0,0,0,0,5.7,0,0.0,Under Review,No material delay,No Major Intervention,Not Applicable
HIST-00052,Gujarat Sewerage Network Upgrade - Phase 1,Urban Development,Gujarat,134.4,135.4,64,70,100.0,100.0,17,0,0,0,0,0,2.6,1,0.3,Completed,No material delay,No Major Intervention,Not Applicable
HIST-00053,West Bengal Ring Road Development - Phase 3,Roads,West Bengal,1585.1,1848.2,12,16,93.1,90.4,5,2,0,1,1,0,8.3,5,12.5,Delayed,Milestone slippage,Additional Funding Approval,Partially Successful
HIST-00054,Rajasthan Airport Cargo Complex - Phase 3,Airports,Rajasthan,159.2,166.7,63,9,23.8,19.2,16,1,0,0,0,0,0.2,1,3.4,Under Review,No material delay,No Major Intervention,Not Applicable
HIST-00055,Madhya Pradesh Runway Expansion Project - Phase 2,Airports,Madhya Pradesh,407.6,409.9,54,15,29.5,40.3,15,1,0,0,0,0,-0.7,0,0.8,Under Review,No material delay,No Major Intervention,Not Applicable
HIST-00056,Madhya Pradesh Ring Road Development - Phase 1,Roads,Madhya Pradesh,88.9,88.9,52,43,81.1,87.1,14,0,1,0,0,0,3.1,6,0.1,Under Review,Land acquisition,Land Acquisition Task Force,No Significant Improvement
HIST-00057,Tamil Nadu State Highway Upgradation - Phase 3,Roads,Tamil Nadu,205.3,213.3,62,32,52.5,49.9,21,1,0,0,0,0,4.8,0,2.7,Under Review,No material delay,Contractor Replacement,No Significant Improvement
HIST-00058,Kerala Water Supply Augmentation - Phase 2,Water Resources,Kerala,154.0,159.6,47,44,94.1,87.7,12,1,0,0,0,0,1.0,2,3.4,Under Review,Other execution delay,No Major Intervention,Not Applicable
HIST-00059,Madhya Pradesh Airport Cargo Complex - Phase 3,Airports,Madhya Pradesh,1039.1,1055.8,56,13,16.4,0.0,17,0,1,0,0,0,-2.1,0,1.1,Under Review,No material delay,No Major Intervention,Not Applicable
HIST-00060,West Bengal Metro Rail Extension - Phase 1,Railways,West Bengal,100.7,107.3,47,9,24.9,9.4,13,1,0,0,0,1,-2.4,0,7.3,Under Review,No material delay,Contractor Replacement,No Significant Improvement
HIST-00061,Maharashtra Transmission Line Augmentation - Phase 3,Power,Maharashtra,206.0,206.0,54,14,23.7,18.4,13,1,0,0,0,0,-0.6,1,0.5,Under Review,No material delay,No Major Intervention,Not Applicable
HIST-00062,Gujarat Airport Cargo Complex - Phase 3,Airports,Gujarat,313.7,322.6,21,49,98.7,100.0,5,1,0,1,0,0,0.6,1,3.1,Completed,No material delay,No Major Intervention,Not Applicable
HIST-00063,Bihar State Highway Upgradation - Phase 2,Roads,Bihar,391.9,400.4,12,28,90.0,95.2,4,1,0,0,0,0,12.2,0,1.8,Completed,No material delay,Additional Funding Approval,Partially Successful
HIST-00064,Bihar Container Yard Development - Phase 1,Ports,Bihar,696.2,700.7,40,86,100.0,87.9,11,0,0,0,0,0,-0.0,0,0.1,Completed,No material delay,No Major Intervention,Not Applicable
HIST-00065,Jharkhand Affordable Housing Scheme - Phase 3,Urban Development,Jharkhand,154.1,170.3,64,50,82.9,84.4,16,0,0,0,1,0,-3.7,1,8.1,Under Review,No material delay,Additional Funding Approval,Partially Successful
HIST-00066,Uttar Pradesh Urban Renewal Mission - Phase 2,Urban Development,Uttar Pradesh,114.1,116.9,24,57,88.4,91.3,4,1,0,0,0,0,5.1,1,2.5,Completed,No material delay,No Major Intervention,Not Applicable
HIST-00067,Telangana Rail Line Doubling - Phase 1,Railways,Telangana,358.7,408.4,33,83,93.3,96.1,10,0,1,1,0,0,3.2,1,13.3,Completed with Cost Overrun,No material delay,Inter-Department Coordination,No Significant Improvement
HIST-00068,Odisha Airport Terminal Development - Phase 2,Airports,Odisha,363.8,375.0,60,64,99.5,100.0,18,0,0,0,0,0,6.5,0,3.7,Completed,No material delay,No Major Intervention,Not Applicable
HIST-00069,Tamil Nadu Freight Corridor Development - Phase 2,Railways,Tamil Nadu,76.9,88.1,30,16,37.1,51.7,12,2,1,0,0,1,-1.6,8,15.2,Delayed,Land acquisition,Land Acquisition Task Force,No Significant Improvement
HIST-00070,West Bengal Smart City Development - Phase 2,Urban Development,West Bengal,823.5,823.5,50,22,38.6,52.4,13,1,0,0,0,0,-1.6,2,0.0,Under Review,Other execution delay,No Major Intervention,Not Applicable
HIST-00071,Rajasthan Expressway Corridor - Phase 1,Roads,Rajasthan,179.1,200.1,61,86,100.0,100.0,15,0,1,0,1,0,-6.5,6,12.7,Delayed,Land acquisition,Land Acquisition Task Force,No Significant Improvement
HIST-00072,Andhra Pradesh Smart City Development - Phase 3,Urban Development,Andhra Pradesh,196.2,207.7,64,73,100.0,74.4,14,0,0,0,0,0,-6.7,1,3.6,Completed,No material delay,Additional Funding Approval,Partially Successful
HIST-00073,Maharashtra Railway Electrification Project - Phase 2,Railways,Maharashtra,463.2,506.4,36,14,42.5,34.1,10,0,0,1,1,0,-0.7,0,8.2,Under Review,No material delay,Additional Funding Approval,No Significant Improvement
HIST-00074,Bihar Port Connectivity Corridor - Phase 3,Ports,Bihar,228.4,245.7,57,78,95.4,80.8,15,0,1,0,0,0,4.8,3,2.8,Delayed,Land acquisition,Additional Funding Approval,Successful
HIST-00075,Haryana National Highway Widening - Phase 2,Roads,Haryana,463.8,510.8,47,67,100.0,100.0,14,4,0,0,0,0,14.6,5,4.8,Delayed,Milestone slippage,Milestone Restructuring,Successful
HIST-00076,Maharashtra National Highway Widening - Phase 1,Roads,Maharashtra,653.8,678.4,67,28,39.4,33.4,15,0,0,1,1,0,-6.0,0,2.1,Under Review,No material delay,Additional Funding Approval,Successful
HIST-00077,Odisha National Highway Widening - Phase 1,Roads,Odisha,1693.4,1768.9,53,37,65.8,81.1,15,0,1,0,0,0,4.9,6,4.5,Under Review,Land acquisition,Land Acquisition Task Force,Partially Successful
HIST-00078,Haryana Container Yard Development - Phase 1,Ports,Haryana,105.6,109.5,48,11,27.0,23.0,12,1,0,0,0,0,2.0,1,3.7,Completed,No material delay,No Major Intervention,Not Applicable
HIST-00079,Jharkhand National Highway Widening - Phase 1,Roads,Jharkhand,415.3,424.0,36,26,68.3,71.6,11,0,0,1,0,0,-3.8,1,2.1,Completed,No material delay,No Major Intervention,Not Applicable
HIST-00080,Karnataka Affordable Housing Scheme - Phase 1,Urban Development,Karnataka,56.0,57.1,27,9,33.5,17.0,4,1,0,0,0,0,-2.9,0,2.6,Under Review,No material delay,No Major Intervention,Not Applicable
HIST-00081,Karnataka State Highway Upgradation - Phase 3,Roads,Karnataka,60.6,66.0,37,89,89.5,74.3,7,0,0,0,1,0,6.7,0,3.4,Completed,No material delay,Additional Funding Approval,Successful
HIST-00082,Andhra Pradesh River Interlinking Scheme - Phase 3,Water Resources,Andhra Pradesh,59.7,68.8,36,60,100.0,83.9,7,0,1,1,1,0,1.9,7,13.6,Delayed,Land acquisition,Land Acquisition Task Force,Partially Successful
HIST-00083,Andhra Pradesh Port Terminal Expansion - Phase 3,Ports,Andhra Pradesh,901.9,997.3,36,52,91.3,80.4,9,1,0,1,1,0,-2.3,0,11.7,Completed with Cost Overrun,No material delay,Land Acquisition Task Force,No Significant Improvement
HIST-00084,Maharashtra State Highway Upgradation - Phase 3,Roads,Maharashtra,281.4,286.0,55,54,100.0,100.0,14,0,1,0,0,0,-0.5,0,1.5,Completed,No material delay,No Major Intervention,Not Applicable
HIST-00085,Telangana National Highway Widening - Phase 2,Roads,Telangana,908.6,930.9,46,78,86.9,100.0,14,1,0,1,0,0,5.5,1,0.6,Completed,No material delay,Contractor Replacement,Successful
HIST-00086,Maharashtra Thermal Power Plant Modernisation - Phase 2,Power,Maharashtra,210.1,230.2,70,34,58.8,67.7,18,2,0,0,1,0,-0.3,4,8.4,Under Review,Milestone slippage,Additional Funding Approval,No Significant Improvement
HIST-00087,Kerala Metro Rail Extension - Phase 3,Railways,Kerala,184.1,194.4,44,67,92.2,91.2,12,1,1,0,0,0,-3.3,0,7.1,Completed with Cost Overrun,No material delay,No Major Intervention,Not Applicable
HIST-00088,Rajasthan Runway Expansion Project - Phase 3,Airports,Rajasthan,241.7,248.7,44,47,100.0,100.0,8,0,0,1,0,0,5.2,3,2.1,Delayed,Pending clearance,Inter-Department Coordination,Partially Successful
HIST-00089,Rajasthan Metro Rail Extension - Phase 1,Railways,Rajasthan,69.5,71.9,74,56,77.7,75.8,17,0,1,0,0,0,-3.6,1,3.9,Under Review,No material delay,No Major Intervention,Not Applicable
HIST-00090,Haryana Expressway Corridor - Phase 1,Roads,Haryana,137.0,138.0,28,69,100.0,100.0,5,0,0,0,0,0,-1.9,0,1.6,Completed,No material delay,No Major Intervention,Not Applicable
HIST-00091,Odisha National Highway Widening - Phase 3,Roads,Odisha,133.3,160.1,38,55,83.8,76.8,10,1,1,0,1,0,0.7,2,12.6,Delayed,Land acquisition,Land Acquisition Task Force,Successful
HIST-00092,Maharashtra Railway Electrification Project - Phase 2,Railways,Maharashtra,157.0,183.7,48,21,39.7,38.4,12,3,1,0,0,1,5.0,5,8.6,Under Review,Land acquisition,Land Acquisition Task Force,Successful
HIST-00093,Haryana State Highway Upgradation - Phase 2,Roads,Haryana,188.9,213.4,28,68,100.0,97.7,6,1,1,0,0,1,9.5,7,13.0,Delayed,Land acquisition,Land Acquisition Task Force,No Significant Improvement
HIST-00094,Karnataka Substation Capacity Expansion - Phase 3,Power,Karnataka,204.8,212.0,46,65,83.6,72.5,6,2,0,0,1,0,3.9,0,2.0,Completed,No material delay,Additional Funding Approval,Successful
HIST-00095,Rajasthan River Interlinking Scheme - Phase 3,Water Resources,Rajasthan,484.8,502.8,75,40,51.2,57.1,20,1,0,0,0,0,0.1,2,4.2,Delayed,Other execution delay,No Major Intervention,Not Applicable
HIST-00096,Madhya Pradesh Urban Renewal Mission - Phase 2,Urban Development,Madhya Pradesh,311.1,313.8,59,40,49.8,47.3,14,2,0,0,0,0,5.4,0,1.8,Completed,No material delay,No Major Intervention,Not Applicable
HIST-00097,Gujarat National Highway Widening - Phase 2,Roads,Gujarat,208.2,241.5,67,76,88.6,85.8,19,2,1,0,0,0,4.2,0,16.0,Completed with Cost Overrun,No material delay,No Major Intervention,Not Applicable
HIST-00098,Karnataka Runway Expansion Project - Phase 3,Airports,Karnataka,85.8,91.8,31,24,75.2,78.4,7,0,0,0,1,0,-5.4,1,7.6,Under Review,No material delay,Additional Funding Approval,No Significant Improvement
HIST-00099,Karnataka Container Yard Development - Phase 3,Ports,Karnataka,380.7,439.3,12,20,95.5,100.0,5,2,1,1,0,1,6.1,0,12.9,Completed with Cost Overrun,No material delay,Contractor Replacement,Partially Successful
HIST-00100,Bihar Ring Road Development - Phase 1,Roads,Bihar,294.3,307.0,41,69,100.0,98.3,12,0,1,0,0,0,9.1,4,2.7,Delayed,Land acquisition,Land Acquisition Task Force,No Significant Improvement
HIST-00101,Madhya Pradesh Rail Line Doubling - Phase 3,Railways,Madhya Pradesh,457.0,457.0,34,27,74.5,69.7,9,0,1,0,0,0,1.5,5,0.5,Delayed,Land acquisition,Land Acquisition Task Force,Partially Successful
HIST-00102,Tamil Nadu Water Supply Augmentation - Phase 1,Water Resources,Tamil Nadu,186.7,216.8,21,15,72.9,66.9,4,2,1,1,0,1,4.9,3,11.0,Under Review,Land acquisition,Land Acquisition Task Force,Successful
HIST-00103,Kerala Solar Power Park - Phase 1,Power,Kerala,70.2,81.9,36,15,25.7,43.1,8,6,1,1,0,0,12.5,18,15.6,Under Review,Land acquisition,Contractor Replacement,No Significant Improvement
HIST-00104,Gujarat Freight Corridor Development - Phase 2,Railways,Gujarat,192.2,199.2,56,30,57.3,59.2,10,1,0,0,0,0,10.1,0,2.9,Under Review,No material delay,No Major Intervention,Not Applicable
HIST-00105,Karnataka Metro Rail Extension - Phase 2,Railways,Karnataka,128.8,135.5,57,22,35.7,42.1,14,0,1,0,0,0,5.6,0,5.1,Under Review,No material delay,No Major Intervention,Not Applicable
HIST-00106,Maharashtra Runway Expansion Project - Phase 1,Airports,Maharashtra,478.8,493.7,79,56,68.1,75.3,20,0,0,0,0,0,-0.3,0,2.5,Completed,No material delay,No Major Intervention,Not Applicable
HIST-00107,Tamil Nadu Expressway Corridor - Phase 3,Roads,Tamil Nadu,625.8,641.1,26,14,45.2,33.7,8,0,1,1,0,0,2.4,1,0.9,Completed,No material delay,Inter-Department Coordination,Partially Successful
HIST-00108,Bihar Thermal Power Plant Modernisation - Phase 1,Power,Bihar,388.3,420.7,47,15,20.3,3.8,14,1,0,0,0,0,-1.3,0,7.3,Under Review,No material delay,No Major Intervention,Not Applicable
HIST-00109,Telangana National Highway Widening - Phase 1,Roads,Telangana,4413.9,4810.6,35,36,94.5,76.9,8,2,0,0,0,0,14.8,0,7.9,Completed with Cost Overrun,No material delay,No Major Intervention,Not Applicable
HIST-00110,Uttar Pradesh Runway Expansion Project - Phase 2,Airports,Uttar Pradesh,530.2,538.0,43,37,76.0,84.7,12,0,0,0,0,0,-5.2,1,3.5,Completed,No material delay,No Major Intervention,Not Applicable
HIST-00111,Bihar Affordable Housing Scheme - Phase 3,Urban Development,Bihar,39.4,46.5,41,80,96.6,72.3,10,3,1,0,0,1,9.6,0,18.1,Completed with Cost Overrun,No material delay,Contractor Replacement,No Significant Improvement
HIST-00112,Madhya Pradesh Thermal Power Plant Modernisation - Phase 3,Power,Madhya Pradesh,130.6,144.5,52,27,61.5,54.5,12,0,1,1,0,1,-1.1,6,8.2,Delayed,Land acquisition,Land Acquisition Task Force,Partially Successful
HIST-00113,Uttar Pradesh Dam Rehabilitation Project - Phase 2,Water Resources,Uttar Pradesh,171.4,199.0,45,38,72.9,85.9,10,4,1,0,0,0,17.6,7,8.7,Under Review,Land acquisition,Land Acquisition Task Force,Successful
HIST-00114,Uttar Pradesh Expressway Corridor - Phase 1,Roads,Uttar Pradesh,136.1,158.2,26,65,84.7,80.2,9,4,0,0,1,0,16.0,7,12.2,Delayed,Milestone slippage,Additional Funding Approval,Partially Successful
HIST-00115,Haryana Transmission Line Augmentation - Phase 1,Power,Haryana,269.0,292.6,66,56,96.7,100.0,16,0,1,1,0,0,-2.5,7,8.1,Delayed,Land acquisition,Land Acquisition Task Force,Partially Successful
HIST-00116,Gujarat Smart City Development - Phase 2,Urban Development,Gujarat,86.7,93.6,31,27,75.8,76.7,6,3,0,0,1,0,1.6,0,7.4,Under Review,No material delay,Additional Funding Approval,No Significant Improvement
HIST-00117,Haryana Ring Road Development - Phase 2,Roads,Haryana,422.4,447.2,39,37,98.4,100.0,9,1,1,0,0,0,1.0,0,7.4,Under Review,No material delay,No Major Intervention,Not Applicable
HIST-00118,Haryana State Highway Upgradation - Phase 3,Roads,Haryana,424.5,474.9,30,11,42.8,52.4,4,0,1,1,0,1,-6.8,8,8.0,Under Review,Land acquisition,Land Acquisition Task Force,Partially Successful
HIST-00119,Uttar Pradesh Port Terminal Expansion - Phase 3,Ports,Uttar Pradesh,246.6,265.9,25,69,95.7,86.7,4,0,0,0,0,1,5.9,0,6.6,Under Review,No material delay,Contractor Replacement,Partially Successful
HIST-00120,Telangana Expressway Corridor - Phase 3,Roads,Telangana,287.1,311.1,26,85,100.0,100.0,6,1,0,0,1,0,-2.4,2,5.6,Delayed,Funding release,Additional Funding Approval,Successful
HIST-00121,West Bengal Port Terminal Expansion - Phase 2,Ports,West Bengal,166.0,192.1,39,17,48.7,39.8,13,1,1,0,0,1,-1.6,0,14.5,Under Review,No material delay,Contractor Replacement,No Significant Improvement
HIST-00122,Haryana Expressway Corridor - Phase 1,Roads,Haryana,287.1,289.7,23,23,100.0,91.8,7,0,0,1,0,0,3.7,3,2.3,Delayed,Pending clearance,Inter-Department Coordination,No Significant Improvement
HIST-00123,Tamil Nadu Smart City Development - Phase 1,Urban Development,Tamil Nadu,329.6,333.9,61,31,43.7,48.0,10,1,0,0,0,0,11.0,6,1.7,Under Review,Other execution delay,No Major Intervention,Not Applicable
